City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mossamedes,0,AO,1626970311,58,-15.1961,12.1522,72.54,8.16
Ereymentau,0,KZ,1626970312,42,51.6199,73.1033,68.99,6.24
Kitob,0,UZ,1626970312,14,39.0843,66.8332,86.58,1.72
Vila Velha,75,BR,1626970312,70,-20.3297,-40.2925,75.96,12.66
Östersund,75,SE,1626970313,67,63.1792,14.6357,55.85,29.93
Port Alfred,100,ZA,1626970313,75,-33.5906,26.891,51.46,25.55
Prince Rupert,75,CA,1626970314,94,54.3161,-130.3201,53.69,5.75
Martapura,90,ID,1626970314,94,-3.4167,114.85,77.09,2.3
Busselton,100,AU,1626970314,74,-33.65,115.3333,55.09,16.04
Kardailovo,71,RU,1626970315,48,51.5386,53.9042,83.77,19.42
Arteaga,74,MX,1626970315,78,18.4667,-102.4167,71.53,3.33
Atuona,100,PF,1626970315,74,-9.8,-139.0333,77.22,13.22
Yellowknife,100,CA,1626970141,56,62.456,-114.3525,69.1,8.1
Mount Isa,100,AU,1626970316,54,-20.7333,139.5,55.17,0.0
Butaritari,59,KI,1626970316,76,3.0707,172.7902,82.74,14.14
Torbay,90,CA,1626970317,98,47.6666,-52.7314,56.75,12.66
Borogontsy,0,RU,1626970317,82,62.6683,131.1683,59.23,1.57
Lethem,22,GY,1626970317,59,3.3803,-59.7968,88.07,3.49
Bluff,66,NZ,1626970128,82,-46.6,168.3333,40.8,11.77
Hobart,100,AU,1626970215,63,-42.8794,147.3294,51.26,3.0
Zhangye,75,CN,1626970318,27,38.9342,100.4517,84.92,8.72
Turtas,99,RU,1626970318,81,58.9417,69.1325,68.77,4.56
Nanfeng,1,CN,1626970319,92,23.7434,111.7959,78.44,0.49
Port Macquarie,98,AU,1626970279,86,-31.4333,152.9167,47.89,8.95
Punta Arenas,20,CL,1626970319,87,-53.15,-70.9167,39.31,5.75
Parrita,100,CR,1626970158,74,9.5201,-84.3225,89.37,3.06
Pilikwe,0,BW,1626970320,10,-22.799,27.1938,55.92,7.76
Ushuaia,100,AR,1626970134,90,-54.8,-68.3,47.82,6.91
Rikitea,10,PF,1626970320,73,-23.1203,-134.9692,71.98,12.62
Caucayá,90,CO,1626970256,91,-0.1934,-74.7819,76.6,3.89
Charleville-Mézières,22,FR,1626970321,65,49.7667,4.7167,76.82,9.42
Port Augusta,92,AU,1626970160,89,-32.5,137.7667,48.34,19.44
Naze,100,JP,1626970321,90,28.3667,129.4833,76.62,26.89
Guerrero Negro,7,MX,1626970258,66,27.9769,-114.0611,75.36,9.69
Jamestown,20,US,1626970322,65,42.097,-79.2353,72.72,3.0
Puerto Ayora,100,EC,1626970322,92,-0.7393,-90.3518,72.55,8.99
Hobyo,53,SO,1626970240,79,5.3505,48.5268,78.73,32.14
Geraldton,4,AU,1626970323,93,-28.7667,114.6,52.21,8.05
Chaman,9,PK,1626970323,10,30.9236,66.4512,87.21,7.31
Vardø,75,NO,1626970272,70,70.3705,31.1107,48.4,24.16
Musoma,5,TZ,1626970324,60,-1.5,33.8,73.78,8.66
Castro,0,BR,1626970324,37,-24.7911,-50.0119,65.97,6.46
Hasaki,98,JP,1626970324,86,35.7333,140.8333,75.6,6.49
Pangnirtung,100,CA,1626970325,82,66.1451,-65.7125,43.39,6.87
Dingle,100,PH,1626970325,81,10.9995,122.6711,77.97,11.99
Sežana,82,SI,1626970325,8,45.7092,13.8733,82.69,1.72
Carnarvon,1,AU,1626970326,67,-24.8667,113.6333,55.47,5.75
Praia,40,CV,1626970326,62,14.9215,-23.5087,86.54,10.36
Chui,19,UY,1626970327,60,-33.6971,-53.4616,58.3,8.08
Ahipara,5,NZ,1626970327,87,-35.1667,173.1667,53.15,5.06
Kaitangata,6,NZ,1626970327,79,-46.2817,169.8464,40.93,5.79
Hilo,90,US,1626970245,90,19.7297,-155.09,73.13,10.36
Qūchān,28,IR,1626970328,20,37.106,58.5095,81.43,15.43
Albany,82,US,1626970080,59,42.6001,-73.9662,77.18,1.01
Hambantota,100,LK,1626970328,77,6.1241,81.1185,81.01,20.8
Kapaa,75,US,1626970329,85,22.0752,-159.319,75.52,4.0
Talnakh,100,RU,1626970329,95,69.4865,88.3972,59.25,16.08
Pevek,96,RU,1626970329,74,69.7008,170.3133,38.77,2.44
Big Spring,1,US,1626970330,63,32.2504,-101.4787,82.35,4.0
Invercargill,39,NZ,1626970330,89,-46.4,168.35,41.02,5.99
Avarua,17,CK,1626970331,100,-21.2078,-159.775,68.05,1.14
Xinyu,0,CN,1626970331,79,27.8043,114.9334,77.43,2.8
